Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
376	6	40	57	25	5
1342	88	248	285	5	117
89	0	12	0	0	0
3751	9	806	808	0	405
112492	1	8208	7398	35	19366
106	0	5	0	0	0
3	0	0	0	0	0
77	0	9	0	0	0
166	0	40	11	0	0
5775	107	375	563	14	710
2	0	0	0	0	0
408	0	81	0	0	0
1288	2	95	99	3	42
54	0	11	3	0	0
77	0	13	1	0	0
2296	33	351	163	7	32
12652	150	2834	3443	79	3404
2235	12	377	40	0	46
99566	337	7288	4742	218	21119
3829	7	255	415	17	552
17124	17	782	1363	39	588
184	0	17	3	0	0
13204	411	3281	2528	98	5049
25027	225	2127	679	1	7541
57	0	0	0	0	0
958	18	253	436	4	16
3011	15	82	11	3	750
3542	841	984	990	8	1093
2658	64	703	611	6	423
4898	0	404	372	33	1014
309	0	59	17	0	0
3544	2	2021	2651	18	9
1803	400	1104	848	1	1914
3181	40	349	416	0	21
6419	248	1562	2168	86	583
5653	76	1255	1101	38	1231
1657	145	509	403	25	183
6462	0	1431	797	0	1486
177	0	29	34	0	0
9422	66	1125	1228	9	246
8675	35	608	841	17	2393
782	16	188	237	1	53
56167	1695	9481	5112	642	31577
64	0	10	0	0	0
1171	35	789	1497	18	73
593	0	40	2	0	0
219	0	59	0	0	0
96624	137	4460	6126	63	9889
1604	26	109	102	3	42
989	0	206	225	1	0
8687	16	832	1191	98	389
1108	45	122	44	1	301
429	0	30	36	0	0
1600	1	211	234	10	53
3841	18	448	752	11	104
24122	15	6913	913	30	191
110	0	9	0	0	0
1491	82	202	293	0	119
12112	157	3239	3306	1	2030
28735	29	6856	4578	459	5997
2743	29	888	732	19	134
1010	5	234	109	8	5
210	0	49	0	0	0
3370	64	417	454	2	617
84484	617	4073	2844	97	40438
166	0	16	0	0	0
3241	19	944	1165	0	392
3775	4	1165	2420	44	3
3373	19	109	41	0	420
80	2	4	3	0	0
947	30	252	275	10	137
2569	0	160	165	0	3
2363	243	841	753	27	363		
65445	707	3286	3640	70	44516
10919	128	4360	7233	52	429
520	8	64	35	0	4
847	2	108	57	1	5
15327	216	4657	6436	149	2487
9000	339	1204	1402	99	2370
1329	1	238	227	0	0
25489	207	3799	4426	137	4755
4849	73	977	868	7	143
3166	12	192	118	7	94
37617	138	8222	7311	414	8333
9984	79	1318	1201	9	4112
6402	76	355	257	2	3206
369	0	66	0	0	0
2052	0	381	153	0	0
15390	543	4944	5701	40	2237
17062	148	2197	1950	74	4286
672	124	226	266	0	232
8996	525	2843	1901	76	2762	
858	4	241	436	0	3
507	0	46	8	0	0
1093	0	60	57	0	0
117	0	4	0	0	0
475	0	79	9	0	24
3727	0	4816	7092	1	594
674	28	223	223	32	84
4759	0	1326	57	0	0
95822	491	6665	1739	218	73816
6021	45	4747	6864	79	103
75738	105	2198	1286	5	21187
3079	30	412	504	8	100
17921	56	371	176	0	5475
6543	36	2485	3453	50	252
1038	111	432	427	14	178
3372	80	1342	3912	23	193
8030	137	2303	2188	181	2997		
4540	0	1120	1173	9	36
2414	49	327	384	0	153
4705	319	1413	1391	53	711
3883	81	867	1290	10	455
147409	204	3510	1257	39	29814
49866	165	1029	1659	1	10887
3869	0	685	428	0	1612
1110	4	118	189	0	11
9513	4	1317	1813	0	444
8627	288	3417	3773	101	1574
92127	788	15321	13025	27	30312
10624	1288	9163	12372	766	3504
161	0	24	69	3	0
2139	12	172	102	0	33
680	35	131	163	4	84
58932	748	9067	7022	224	24757
299	12	105	173	3	2
1590	16	115	116	1	120
1403	0	513	807	1	0
1023	39	222	27	0	99
10445	21	1504	1615	138	1283
